	CorsikaId	px	py	pz	x	y	t	shower_id	prm_id	prm_energy	prm_theta	prm_phi
4141000	1.0	0.000300817	0.000910491	0.00909328	252.513	131.591	370613.0	5430.0	1	551.716	0.0	0.0
4141001	1.0	-0.00031488	-0.000263554	0.00041685699999999997	-48.188199999999995	-93.97540000000001	371188.0	5430.0	1	551.716	0.0	0.0
4141002	1.0	2.5570900000000003e-05	3.62414e-05	9.033520000000001e-05	284.716	338.96	370795.0	5430.0	1	551.716	0.0	0.0
4141003	1.0	0.00011309	0.000314031	0.00027204599999999996	313.86	445.741	371027.0	5430.0	1	551.716	0.0	0.0
4141004	1.0	0.0023204	0.013025499999999999	0.034466000000000004	265.469	334.135	370774.0	5430.0	1	551.716	0.0	0.0
4141005	1.0	-0.00207342	0.00304791	0.027853199999999998	-773.7819999999999	1129.5	370882.0	5430.0	1	551.716	0.0	0.0
4141006	1.0	0.0008131589999999999	0.00146951	0.00369471	-38.6171	900.568	370862.0	5430.0	1	551.716	0.0	0.0
4141007	1.0	0.00016832	0.000306454	0.0128392	96.06360000000001	202.748	370587.0	5430.0	1	551.716	0.0	0.0
4141008	1.0	-0.0015983	-0.00118976	0.0336018	-153.07	-113.74799999999999	370600.0	5430.0	1	551.716	0.0	0.0
4141009	1.0	0.000217553	0.000221685	0.000536575	611.153	-57.6771	371360.0	5430.0	1	551.716	0.0	0.0
4141010	1.0	0.000244839	0.0005253009999999999	0.00249175	-58.4107	153.126	370776.0	5430.0	1	551.716	0.0	0.0
4141011	1.0	-8.7053e-05	-0.000108933	0.00334069	117.071	-436.475	370713.0	5430.0	1	551.716	0.0	0.0
4141012	1.0	8.737370000000001e-05	-0.00511302	0.014400999999999999	124.055	-370.017	370765.0	5430.0	1	551.716	0.0	0.0
4141013	1.0	0.00010861	-0.000332916	0.038534	166.433	29.345399999999998	370588.0	5430.0	1	551.716	0.0	0.0
4141014	1.0	0.00203976	0.000297188	0.0534371	231.262	44.2782	370591.0	5430.0	1	551.716	0.0	0.0
4141015	1.0	0.00173863	0.00176389	0.00531744	62.8342	188.91400000000002	370627.0	5430.0	1	551.716	0.0	0.0
4141016	3.0	0.00183918	-0.00235614	0.00468166	55.459300000000006	174.456	370623.0	5430.0	1	551.716	0.0	0.0
4141017	1.0	-0.0014744	0.000627279	0.0157717	-361.006	162.033	370642.0	5430.0	1	551.716	0.0	0.0
4141018	1.0	-0.000481349	0.00016769099999999998	0.00283941	-316.642	80.4702	370685.0	5430.0	1	551.716	0.0	0.0
4141019	1.0	-0.00023118	0.000422629	0.00197212	-198.774	335.16	370760.0	5430.0	1	551.716	0.0	0.0
4141020	1.0	0.00348239	0.000124941	0.0173327	327.258	-128.659	370684.0	5430.0	1	551.716	0.0	0.0
4141021	1.0	-0.000651766	0.000855089	0.0109675	20.3945	72.7371	370598.0	5430.0	1	551.716	0.0	0.0
4141022	1.0	6.119590000000001e-05	0.000520458	0.00261237	8.59558	187.12099999999998	370659.0	5430.0	1	551.716	0.0	0.0
4141023	1.0	-0.00013936799999999998	0.000295318	0.00522055	-73.4843	127.92200000000001	370593.0	5430.0	1	551.716	0.0	0.0
4141024	1.0	2.71929e-05	-0.00029322	0.0008084219999999999	-299.098	-62.6379	371028.0	5430.0	1	551.716	0.0	0.0
4141025	1.0	0.00168743	-0.00042006199999999996	0.00230231	423.173	-939.6089999999999	371126.0	5430.0	1	551.716	0.0	0.0
4141026	1.0	0.00162914	0.00182612	0.00793917	-123.322	510.56	370852.0	5430.0	1	551.716	0.0	0.0
4141027	1.0	-0.000496744	-0.000173427	0.00159641	469.347	-482.916	370754.0	5430.0	1	551.716	0.0	0.0
4141028	1.0	0.000264384	0.00017637	0.00036501400000000004	472.71	-514.842	370784.0	5430.0	1	551.716	0.0	0.0
4141029	3.0	-0.000387554	-0.0009698660000000001	0.000708765	500.24699999999996	200.71599999999998	370802.0	5430.0	1	551.716	0.0	0.0
4141030	1.0	0.00221219	0.000812488	0.0040397	511.092	204.74099999999999	370787.0	5430.0	1	551.716	0.0	0.0
4141031	1.0	-1.25058e-05	0.000284184	0.00065817	1842.94	827.378	371920.0	5430.0	1	551.716	0.0	0.0
4141032	1.0	-0.0022544	-0.00239335	0.0159514	-1083.6	-1279.24	371138.0	5430.0	1	551.716	0.0	0.0
4141033	1.0	0.000120035	-0.000633704	0.00106049	-521.749	-419.277	371067.0	5430.0	1	551.716	0.0	0.0
4141034	1.0	-0.00124977	0.000342329	0.00254082	-331.566	-168.042	370867.0	5430.0	1	551.716	0.0	0.0
4141035	1.0	-6.59658e-05	-0.00011626	0.000167301	39.8296	-527.831	371166.0	5430.0	1	551.716	0.0	0.0
4141036	1.0	-0.000352979	-0.000160845	0.0200503	-91.5718	-55.4885	370581.0	5430.0	1	551.716	0.0	0.0
4141037	1.0	-6.144729999999999e-05	1.2445799999999999e-05	0.011919299999999999	-28.6151	4.96838	370577.0	5430.0	1	551.716	0.0	0.0
4141038	1.0	-4.2292e-05	-0.00038897599999999997	0.000162871	-214.78	-1358.71	372725.0	5430.0	1	551.716	0.0	0.0
4141039	1.0	0.000291963	-6.45442e-05	7.74791e-05	-154.215	-371.306	371024.0	5430.0	1	551.716	0.0	0.0
4141040	1.0	-6.49692e-05	0.000107128	0.00017795700000000002	-536.888	6.522569999999999	371707.0	5430.0	1	551.716	0.0	0.0
4141041	1.0	0.000505083	-0.000675673	0.00924343	224.584	-267.26	370636.0	5430.0	1	551.716	0.0	0.0
4141042	1.0	0.00253866	0.00136773	0.013000799999999998	262.592	91.3267	370666.0	5430.0	1	551.716	0.0	0.0
4141043	1.0	0.00121003	-0.00231008	0.03523080000000001	158.93	-285.772	370618.0	5430.0	1	551.716	0.0	0.0
4141044	1.0	5.9709799999999995e-05	0.00106024	0.0298726	-0.742395	27.4861	370579.0	5430.0	1	551.716	0.0	0.0
4141045	1.0	-3.34474e-05	-0.000260817	0.00471999	-7.29857	-28.7104	370581.0	5430.0	1	551.716	0.0	0.0
4141046	1.0	0.00213219	-0.000577982	0.00373682	196.891	-60.977799999999995	370750.0	5430.0	1	551.716	0.0	0.0
4141047	1.0	-6.70437e-05	-4.6231899999999994e-05	0.00023601	56.016000000000005	-76.4131	370638.0	5430.0	1	551.716	0.0	0.0
4141048	1.0	0.000351293	-0.000324622	0.00156391	24.374200000000002	-3.9211400000000003	370593.0	5430.0	1	551.716	0.0	0.0
4141049	1.0	-4.8705600000000003e-05	0.00154191	0.024046500000000002	-3.9624	44.7522	370582.0	5430.0	1	551.716	0.0	0.0
4141050	1.0	9.33616e-05	-0.000125753	4.5045699999999995e-05	71.0335	-28.7359	370776.0	5430.0	1	551.716	0.0	0.0
4141051	1.0	0.00140865	-0.00024212900000000003	0.020709	34.806999999999995	21.0367	370584.0	5430.0	1	551.716	0.0	0.0
4141052	1.0	-0.0012361	-1.77148e-05	0.00192117	-136.532	23.0696	370733.0	5430.0	1	551.716	0.0	0.0
4141053	1.0	3.2526999999999995e-05	1.78939e-05	0.000223311	53.2381	45.3213	370594.0	5430.0	1	551.716	0.0	0.0
4141054	1.0	-0.000255742	-0.00029856	0.0006202380000000001	-51.0817	-47.3929	370687.0	5430.0	1	551.716	0.0	0.0
4141055	1.0	3.9604e-07	-1.92017e-06	8.801780000000001e-05	25.4467	25.355900000000002	370584.0	5430.0	1	551.716	0.0	0.0
4141056	1.0	0.000183786	-0.000256875	0.00578193	27.410700000000002	23.6741	370584.0	5430.0	1	551.716	0.0	0.0
4141057	1.0	1.90458e-05	-3.64379e-05	0.00033040099999999997	29.2692	19.7698	370585.0	5430.0	1	551.716	0.0	0.0
4141058	3.0	0.00118604	-0.00840726	0.04864469999999999	29.199	17.5726	370586.0	5430.0	1	551.716	0.0	0.0
4141059	1.0	-0.000163853	-3.21773e-05	0.00037747199999999995	221.44299999999998	-66.3784	371125.0	5430.0	1	551.716	0.0	0.0
4141060	1.0	0.00228229	0.00215137	0.010467	217.282	226.517	370716.0	5430.0	1	551.716	0.0	0.0
4141061	1.0	0.00149277	-0.00193411	0.00727661	501.464	-634.943	371038.0	5430.0	1	551.716	0.0	0.0
4141062	1.0	0.000988072	0.00215168	0.00828253	309.993	683.0369999999999	370810.0	5430.0	1	551.716	0.0	0.0
4141063	1.0	-0.0006766239999999999	0.000219066	0.00074216	-496.506	415.204	370942.0	5430.0	1	551.716	0.0	0.0
4141064	1.0	-0.00020643900000000002	0.000115136	0.000394182	-917.368	-39.8553	371866.0	5430.0	1	551.716	0.0	0.0
4141065	1.0	0.000809754	-0.00118161	0.00133372	-372.73199999999997	-104.234	370779.0	5430.0	1	551.716	0.0	0.0
4141066	1.0	-0.00015724	1.47284e-05	0.000288647	-23.7172	479.60900000000004	371025.0	5430.0	1	551.716	0.0	0.0
4141067	1.0	-0.0020903	-0.00296937	0.028702299999999997	-262.034	-393.909	370666.0	5430.0	1	551.716	0.0	0.0
4141068	1.0	0.000465796	0.00011027799999999999	0.00188893	13.9966	-156.715	370635.0	5430.0	1	551.716	0.0	0.0
4141069	1.0	-0.000591775	-0.00119781	0.0141255	-110.765	-227.73	370602.0	5430.0	1	551.716	0.0	0.0
4141070	1.0	-0.000349426	-0.00125364	0.010208499999999999	-107.914	-240.78900000000002	370606.0	5430.0	1	551.716	0.0	0.0
4141071	1.0	-0.00171571	-0.00407255	0.032138400000000004	-112.84100000000001	-241.74900000000002	370607.0	5430.0	1	551.716	0.0	0.0
4141072	1.0	-0.00012481799999999998	-0.000671255	0.000628786	-121.57600000000001	-314.558	370732.0	5430.0	1	551.716	0.0	0.0
4141073	1.0	3.5279e-05	6.21857e-05	0.00022369	-96.7737	-220.53400000000002	370612.0	5430.0	1	551.716	0.0	0.0
4141074	2.0	0.00461412	0.00631627	0.00992862	-91.4606	-216.225	370623.0	5430.0	1	551.716	0.0	0.0
4141075	1.0	0.000415392	-0.00187731	0.00958141	24.392	-390.73699999999997	370659.0	5430.0	1	551.716	0.0	0.0
4141076	1.0	0.00021794400000000003	-0.0006922219999999999	0.00197281	49.6042	-444.605	370713.0	5430.0	1	551.716	0.0	0.0
4141077	1.0	-0.00315283	-0.000979068	0.025958999999999996	-432.106	-132.757	370670.0	5430.0	1	551.716	0.0	0.0
4141078	1.0	-0.00296816	0.00128226	0.0172363	-237.363	-29.5245	370622.0	5430.0	1	551.716	0.0	0.0
4141079	1.0	-0.000351264	-0.0010303	0.00561876	-330.97	-443.31199999999995	370750.0	5430.0	1	551.716	0.0	0.0
4141080	1.0	-0.000262122	0.000196927	0.00045338	-456.718	-124.561	371057.0	5430.0	1	551.716	0.0	0.0
4141081	1.0	0.000255985	-0.000479255	0.00048361300000000003	-430.955	-509.769	371184.0	5430.0	1	551.716	0.0	0.0
4141082	1.0	-0.00318319	-0.00209514	0.00779459	-876.8489999999999	-243.52700000000002	371175.0	5430.0	1	551.716	0.0	0.0
4141083	1.0	9.090700000000001e-06	-0.000138863	0.00306766	55.3169	-60.9172	370590.0	5430.0	1	551.716	0.0	0.0
