	CorsikaId	px	py	pz	x	y	t	shower_id	prm_id	prm_energy	prm_theta	prm_phi
358075	1.0	-0.000910282	-0.000930947	0.0199923	21.1826	-59.2839	370600.0	459.0	1	487.14599999999996	0.0	0.0
358076	1.0	-0.0012766	-0.000751878	0.00163599	-1283.4	-700.3839999999999	372265.0	459.0	1	487.14599999999996	0.0	0.0
358077	1.0	0.000265872	7.08268e-05	0.0314338	23.8886	80.80760000000001	370582.0	459.0	1	487.14599999999996	0.0	0.0
358078	1.0	0.00224775	0.00111662	0.00535896	-1.8642400000000001	140.422	370669.0	459.0	1	487.14599999999996	0.0	0.0
358079	1.0	-0.00246331	0.000632215	0.044877	-252.648	60.4124	370601.0	459.0	1	487.14599999999996	0.0	0.0
358080	1.0	-0.00115767	0.0030256	0.00949533	21.197	566.48	370737.0	459.0	1	487.14599999999996	0.0	0.0
358081	1.0	0.00046169699999999995	0.00222991	0.00552044	165.90099999999998	531.039	370722.0	459.0	1	487.14599999999996	0.0	0.0
358082	1.0	0.00015866	-0.00112961	0.00311178	222.08900000000003	-761.932	371065.0	459.0	1	487.14599999999996	0.0	0.0
358083	1.0	0.000407097	-0.000680618	0.0177865	67.4607	-153.423	370609.0	459.0	1	487.14599999999996	0.0	0.0
358084	1.0	0.000807117	-0.000640811	0.00197714	962.35	-1113.01	372065.0	459.0	1	487.14599999999996	0.0	0.0
358085	1.0	-0.0004978319999999999	7.95388e-05	0.033511599999999996	-39.0143	120.823	370585.0	459.0	1	487.14599999999996	0.0	0.0
358086	1.0	-0.000177653	0.000103892	0.0006682910000000001	119.26700000000001	265.725	370777.0	459.0	1	487.14599999999996	0.0	0.0
358087	1.0	-0.0008241969999999999	-0.000185362	0.00736075	-79.1283	-282.814	370631.0	459.0	1	487.14599999999996	0.0	0.0
358088	1.0	0.000418746	-0.000253699	0.00206351	82.596	-175.68599999999998	370611.0	459.0	1	487.14599999999996	0.0	0.0
358089	1.0	0.000342904	-0.00011280200000000001	0.00104153	96.82770000000001	-175.75099999999998	370624.0	459.0	1	487.14599999999996	0.0	0.0
358090	1.0	0.00133006	-0.00128889	0.00381076	98.87370000000001	-197.487	370641.0	459.0	1	487.14599999999996	0.0	0.0
358091	1.0	0.000324271	0.000383033	0.00349816	309.97	-79.9284	370669.0	459.0	1	487.14599999999996	0.0	0.0
358092	1.0	4.73494e-05	-7.67945e-05	5.40061e-05	-108.39	-334.57099999999997	371268.0	459.0	1	487.14599999999996	0.0	0.0
358093	2.0	-0.0007519460000000001	0.000988821	0.007651	10.0676	-73.1182	370587.0	459.0	1	487.14599999999996	0.0	0.0
358094	1.0	0.00435495	0.000780705	0.0198923	582.64	66.8136	370793.0	459.0	1	487.14599999999996	0.0	0.0
358095	1.0	-0.000317202	7.16169e-05	0.0009210310000000001	-28.125799999999998	-44.349399999999996	370644.0	459.0	1	487.14599999999996	0.0	0.0
358096	1.0	0.00051935	-0.000112696	0.000241416	85.40780000000001	-97.93889999999999	370706.0	459.0	1	487.14599999999996	0.0	0.0
358097	1.0	-0.000553717	0.000312263	0.00522707	35.0149	-52.4874	370597.0	459.0	1	487.14599999999996	0.0	0.0
358098	1.0	0.0008882489999999999	0.000181767	0.00271333	126.148	-53.7616	370629.0	459.0	1	487.14599999999996	0.0	0.0
358099	1.0	0.00291907	0.00166622	0.0717613	-79.3378	-82.9717	370592.0	459.0	1	487.14599999999996	0.0	0.0
358100	1.0	-0.000264762	-0.000345711	0.00612045	-161.274	-159.724	370597.0	459.0	1	487.14599999999996	0.0	0.0
358101	1.0	-0.000453045	-0.00011321700000000001	0.00226908	-242.859	-152.886	370621.0	459.0	1	487.14599999999996	0.0	0.0
358102	1.0	5.77447e-05	-0.00039965800000000006	0.000306097	-41.9872	-561.386	371310.0	459.0	1	487.14599999999996	0.0	0.0
358103	1.0	-0.000370689	-0.000230702	0.00038934	-334.967	-118.405	370732.0	459.0	1	487.14599999999996	0.0	0.0
358104	1.0	-0.000132891	-9.852389999999998e-06	0.000705329	-272.272	-149.957	370639.0	459.0	1	487.14599999999996	0.0	0.0
358105	3.0	-0.0029124	-0.000597722	0.00949758	-266.173	-144.15	370636.0	459.0	1	487.14599999999996	0.0	0.0
358106	1.0	-0.000306946	8.570190000000001e-05	0.0023888	-265.593	-143.856	370635.0	459.0	1	487.14599999999996	0.0	0.0
358107	2.0	-0.00303741	0.00034600699999999996	0.0275339	-265.585	-143.862	370635.0	459.0	1	487.14599999999996	0.0	0.0
358108	1.0	0.000380727	-0.00121563	0.00836116	-80.2502	-434.50699999999995	370686.0	459.0	1	487.14599999999996	0.0	0.0
358109	1.0	-0.000424968	-0.000389627	0.00170096	-186.002	246.30900000000003	370867.0	459.0	1	487.14599999999996	0.0	0.0
358110	1.0	0.00205128	-0.000441251	0.00936073	459.60699999999997	-9.71968	370683.0	459.0	1	487.14599999999996	0.0	0.0
358111	1.0	-0.00217668	-0.000232124	0.00850133	36.3601	275.198	370703.0	459.0	1	487.14599999999996	0.0	0.0
358112	1.0	0.00132312	0.0013595	0.00712116	848.307	957.174	371486.0	459.0	1	487.14599999999996	0.0	0.0
358113	1.0	0.00106323	0.000212605	0.0747806	69.3862	2.0865	370579.0	459.0	1	487.14599999999996	0.0	0.0
358114	1.0	1.39849e-05	-0.00098765	0.0010001	165.05700000000002	-194.13	370801.0	459.0	1	487.14599999999996	0.0	0.0
358115	2.0	0.00236996	-0.00315974	0.0253948	193.763	158.425	370603.0	459.0	1	487.14599999999996	0.0	0.0
358116	1.0	-0.000260365	0.0004908019999999999	0.0104709	-76.2982	26.2929	370585.0	459.0	1	487.14599999999996	0.0	0.0
358117	1.0	0.000122454	-0.000132848	5.3613900000000005e-05	455.35	54.9321	371232.0	459.0	1	487.14599999999996	0.0	0.0
358118	1.0	1.9184e-05	0.00116867	0.0093433	553.0319999999999	563.419	370789.0	459.0	1	487.14599999999996	0.0	0.0
358119	1.0	0.000948172	0.0005021790000000001	0.00112751	748.063	389.23	371405.0	459.0	1	487.14599999999996	0.0	0.0
358120	1.0	0.000625971	-0.00075346	0.0043435	-350.06	-410.22	370811.0	459.0	1	487.14599999999996	0.0	0.0
358121	1.0	-0.00222823	0.00148043	0.019816099999999996	-190.847	91.85959999999999	370609.0	459.0	1	487.14599999999996	0.0	0.0
358122	1.0	0.00018558599999999998	2.4842599999999998e-08	0.0005065919999999999	222.143	-363.458	370722.0	459.0	1	487.14599999999996	0.0	0.0
358123	1.0	-0.000249567	5.1934499999999995e-05	0.000573672	677.456	218.73	370805.0	459.0	1	487.14599999999996	0.0	0.0
358124	1.0	0.000351329	0.00214828	0.00336586	374.293	1324.11	371442.0	459.0	1	487.14599999999996	0.0	0.0
358125	1.0	0.000358752	0.0011666	0.00375592	272.26	-432.81	370832.0	459.0	1	487.14599999999996	0.0	0.0
358126	1.0	0.000482059	0.0006671610000000001	0.00226038	755.903	277.045	371088.0	459.0	1	487.14599999999996	0.0	0.0
358127	1.0	-0.000396401	-4.59175e-05	0.000107891	306.387	609.467	371787.0	459.0	1	487.14599999999996	0.0	0.0
358128	1.0	-0.0008605269999999999	-0.00103332	0.0208079	-134.546	-170.31599999999997	370602.0	459.0	1	487.14599999999996	0.0	0.0
358129	1.0	-7.550599999999999e-06	0.00028915	0.000506543	74.859	187.456	370714.0	459.0	1	487.14599999999996	0.0	0.0
358130	1.0	0.000184476	0.0008645389999999999	0.001601	96.0624	186.57	370727.0	459.0	1	487.14599999999996	0.0	0.0
358131	1.0	-0.00042562199999999996	-0.00116726	0.0297481	4.7701	-10.289100000000001	370579.0	459.0	1	487.14599999999996	0.0	0.0
358132	1.0	0.000214113	0.000405686	0.00798014	25.5217	35.7006	370580.0	459.0	1	487.14599999999996	0.0	0.0
358133	1.0	-0.000408761	0.000668683	0.0007264610000000001	-128.672	194.047	370810.0	459.0	1	487.14599999999996	0.0	0.0
358134	1.0	7.103439999999999e-06	-6.60988e-05	4.0138e-05	379.876	-246.81599999999997	373346.0	459.0	1	487.14599999999996	0.0	0.0
358135	1.0	0.00308321	-0.00110107	0.0012967	1052.38	-251.438	373010.0	459.0	1	487.14599999999996	0.0	0.0
358136	1.0	0.00022800700000000001	0.000377826	0.000913658	464.44699999999995	24.9008	371516.0	459.0	1	487.14599999999996	0.0	0.0
358137	1.0	0.00841361	-0.0104145	0.44739799999999996	29.3596	-14.1657	370579.0	459.0	1	487.14599999999996	0.0	0.0
358138	1.0	0.000717071	0.000790716	0.00479895	159.786	83.06569999999999	370650.0	459.0	1	487.14599999999996	0.0	0.0
358139	1.0	4.6579099999999996e-05	6.29783e-05	2.55052e-05	243.875	-360.61400000000003	372061.0	459.0	1	487.14599999999996	0.0	0.0
358140	1.0	0.00310721	-0.00443215	0.132972	98.2855	-114.322	370587.0	459.0	1	487.14599999999996	0.0	0.0
358141	1.0	0.00143317	-0.00262967	0.00903059	220.09400000000002	-359.32599999999996	370749.0	459.0	1	487.14599999999996	0.0	0.0
358142	1.0	-0.00114012	0.00157959	0.010701100000000002	39.7715	212.00900000000001	370653.0	459.0	1	487.14599999999996	0.0	0.0
358143	1.0	0.000553597	0.0009787139999999999	0.0128453	158.11700000000002	213.69799999999998	370609.0	459.0	1	487.14599999999996	0.0	0.0
358144	1.0	6.52783e-05	0.000135519	0.00168295	156.987	214.86	370609.0	459.0	1	487.14599999999996	0.0	0.0
358145	1.0	-6.860189999999999e-06	0.000214318	0.00043644699999999996	160.868	266.764	370656.0	459.0	1	487.14599999999996	0.0	0.0
358146	1.0	0.00389824	0.00264808	0.018336500000000002	196.56400000000002	230.58599999999998	370630.0	459.0	1	487.14599999999996	0.0	0.0
358147	1.0	0.00313007	0.00154643	0.0130559	203.285	227.595	370635.0	459.0	1	487.14599999999996	0.0	0.0
358148	1.0	0.000904847	0.000113025	0.0022575	169.32	205.78799999999998	370618.0	459.0	1	487.14599999999996	0.0	0.0
358149	1.0	1.43974e-05	2.7394699999999997e-05	0.000711807	152.245	203.546	370606.0	459.0	1	487.14599999999996	0.0	0.0
358150	1.0	7.483279999999999e-05	0.000488094	0.00368698	153.237	224.783	370612.0	459.0	1	487.14599999999996	0.0	0.0
358151	2.0	-0.000550158	-0.000577248	0.0161519	158.843	228.317	370621.0	459.0	1	487.14599999999996	0.0	0.0
358152	1.0	-0.00019915400000000002	0.00044571199999999996	0.00233454	-255.368	672.2180000000001	371191.0	459.0	1	487.14599999999996	0.0	0.0
358153	1.0	-0.00101328	-0.00032271400000000004	0.00289694	403.787	108.56700000000001	370763.0	459.0	1	487.14599999999996	0.0	0.0
358154	1.0	0.000626467	0.00029089400000000004	0.00232509	522.687	153.74200000000002	370749.0	459.0	1	487.14599999999996	0.0	0.0
358155	1.0	-0.00118825	-9.351450000000001e-05	0.0071767	-380.04900000000004	64.02289999999999	370694.0	459.0	1	487.14599999999996	0.0	0.0
358156	1.0	-0.00138825	9.86323e-05	0.00361236	-723.275	62.6378	371030.0	459.0	1	487.14599999999996	0.0	0.0
358157	1.0	0.000534646	0.00130127	0.0266949	49.112899999999996	162.675	370595.0	459.0	1	487.14599999999996	0.0	0.0
358158	1.0	0.000121082	0.0022722	0.00250639	68.5862	1537.29	372142.0	459.0	1	487.14599999999996	0.0	0.0
358159	1.0	-0.000967859	0.000185945	0.0009194769999999999	-588.845	111.181	371338.0	459.0	1	487.14599999999996	0.0	0.0
358160	1.0	0.0137185	-0.00467286	0.12526600000000002	192.27599999999998	-60.549499999999995	370605.0	459.0	1	487.14599999999996	0.0	0.0
358161	1.0	0.00013364600000000001	-4.57762e-05	0.00015154399999999998	146.278	28.2604	370730.0	459.0	1	487.14599999999996	0.0	0.0
358162	1.0	0.000196622	2.4969e-05	0.000807199	166.567	148.56799999999998	370622.0	459.0	1	487.14599999999996	0.0	0.0
358163	1.0	0.00132967	0.00030910700000000003	0.00755665	151.768	109.29700000000001	370603.0	459.0	1	487.14599999999996	0.0	0.0
358164	1.0	0.000206611	6.034850000000001e-05	0.00621559	105.195	99.007	370586.0	459.0	1	487.14599999999996	0.0	0.0
358165	1.0	-0.00020894900000000002	-0.0045305	0.0110748	81.5772	-86.8414	370704.0	459.0	1	487.14599999999996	0.0	0.0
358166	1.0	-0.00040628400000000003	-0.000318081	0.0008463780000000001	-19.2166	-85.833	370777.0	459.0	1	487.14599999999996	0.0	0.0
358167	1.0	-0.000223064	0.00039789800000000005	0.000288598	-1154.52	-1062.69	372505.0	459.0	1	487.14599999999996	0.0	0.0
358168	1.0	-0.000247545	-6.33052e-05	0.0255644	-49.0507	-19.7384	370578.0	459.0	1	487.14599999999996	0.0	0.0
358169	1.0	-0.000180407	1.2482999999999999e-05	0.000578243	-319.793	-32.121700000000004	370869.0	459.0	1	487.14599999999996	0.0	0.0
358170	1.0	-0.00037209900000000003	-0.00024338599999999998	9.73807e-05	-255.715	4.22355	372013.0	459.0	1	487.14599999999996	0.0	0.0
358171	1.0	9.12726e-06	-0.00017503200000000001	0.00441957	-73.4556	-41.6438	370581.0	459.0	1	487.14599999999996	0.0	0.0
358172	1.0	0.000292634	0.0007389610000000001	0.00299302	-64.4737	-14.2601	370598.0	459.0	1	487.14599999999996	0.0	0.0
358173	1.0	0.000427213	5.15186e-06	0.00215711	-31.3146	-35.6293	370596.0	459.0	1	487.14599999999996	0.0	0.0
358174	1.0	0.00830982	6.852869999999999e-06	0.0338324	-22.7683	-36.7655	370603.0	459.0	1	487.14599999999996	0.0	0.0
358175	1.0	-0.00256993	-0.00118932	0.026838	-218.62900000000002	-101.454	370613.0	459.0	1	487.14599999999996	0.0	0.0
358176	1.0	0.000285547	0.0009773030000000001	0.0017252	76.584	687.878	371306.0	459.0	1	487.14599999999996	0.0	0.0
358177	1.0	0.000194749	0.000779737	0.00298981	-288.21299999999997	8.65564	370717.0	459.0	1	487.14599999999996	0.0	0.0
358178	1.0	0.00278105	-0.00622217	0.0469718	197.84	-563.511	370714.0	459.0	1	487.14599999999996	0.0	0.0
358179	1.0	-0.00605134	0.00031956599999999997	0.039345	-536.177	-79.6088	370730.0	459.0	1	487.14599999999996	0.0	0.0
358180	1.0	0.000101657	0.000496947	0.000586604	91.2558	-482.49	370872.0	459.0	1	487.14599999999996	0.0	0.0
358181	1.0	-4.9407600000000004e-05	0.000104622	0.000462105	27.0287	-315.586	370661.0	459.0	1	487.14599999999996	0.0	0.0
358182	1.0	0.000617557	0.000599041	0.00153525	2016.85	2190.46	373904.0	459.0	1	487.14599999999996	0.0	0.0
358183	1.0	0.00153515	-0.00135344	0.0233053	73.9907	-84.51780000000001	370591.0	459.0	1	487.14599999999996	0.0	0.0
358184	1.0	-0.00129449	-0.00173408	0.00999398	49.4029	-171.7	370636.0	459.0	1	487.14599999999996	0.0	0.0
358185	1.0	4.43564e-05	5.06623e-07	0.000158393	167.796	-123.96700000000001	370656.0	459.0	1	487.14599999999996	0.0	0.0
358186	1.0	0.000955134	-0.00153282	0.00258344	116.11399999999999	-224.00400000000002	370786.0	459.0	1	487.14599999999996	0.0	0.0
358187	1.0	3.8182e-05	-0.0007996489999999999	0.0101024	14.152000000000001	-78.74770000000001	370583.0	459.0	1	487.14599999999996	0.0	0.0
358188	1.0	-0.000385311	0.000382103	0.00190004	-7.3601	-51.0975	370596.0	459.0	1	487.14599999999996	0.0	0.0
358189	1.0	-0.00122542	-0.00787005	0.0228654	-3.09875	-191.215	370665.0	459.0	1	487.14599999999996	0.0	0.0
358190	1.0	0.00014721	-0.000667967	0.00108357	51.2492	-260.806	370772.0	459.0	1	487.14599999999996	0.0	0.0
358191	1.0	0.000351576	-0.000534897	0.00955207	-15.443399999999999	-170.25400000000002	370593.0	459.0	1	487.14599999999996	0.0	0.0
358192	1.0	-0.00039406900000000004	0.000647728	0.00116964	-142.024	44.9283	370718.0	459.0	1	487.14599999999996	0.0	0.0
358193	1.0	-3.6011300000000005e-06	7.85261e-05	0.00257545	-51.9743	-87.0809	370588.0	459.0	1	487.14599999999996	0.0	0.0
358194	1.0	4.1493e-06	0.0007658189999999999	0.00333318	-49.491899999999994	97.4797	370667.0	459.0	1	487.14599999999996	0.0	0.0
358195	1.0	-0.00121106	0.00081762	0.00639516	-150.377	-69.078	370628.0	459.0	1	487.14599999999996	0.0	0.0
358196	1.0	0.000265528	-0.0005767169999999999	0.00284324	-27.8715	-173.81799999999998	370608.0	459.0	1	487.14599999999996	0.0	0.0
358197	1.0	0.000808983	-0.000377751	0.00463725	-14.5032	-168.892	370608.0	459.0	1	487.14599999999996	0.0	0.0
358198	1.0	-0.000129842	-3.5834400000000004e-05	9.11532e-05	-185.532	-172.602	370822.0	459.0	1	487.14599999999996	0.0	0.0
358199	1.0	7.3648e-05	-2.6032199999999998e-05	3.7268200000000003e-05	148.42700000000002	-206.80599999999998	370974.0	459.0	1	487.14599999999996	0.0	0.0
358200	1.0	-0.00170057	-0.00176745	0.0049268	-891.5260000000001	-721.2669999999999	371316.0	459.0	1	487.14599999999996	0.0	0.0
358201	1.0	0.000508193	-0.00115965	0.00164308	191.477	-75.8624	370923.0	459.0	1	487.14599999999996	0.0	0.0
358202	1.0	-1.82027e-05	0.00123974	0.00696851	17.561400000000003	396.42900000000003	370671.0	459.0	1	487.14599999999996	0.0	0.0
358203	1.0	-0.00115537	0.000979897	0.00205877	-20.5798	446.73800000000006	370709.0	459.0	1	487.14599999999996	0.0	0.0
358204	3.0	0.00172852	0.00024489	0.00301219	-17.0828	445.07099999999997	370707.0	459.0	1	487.14599999999996	0.0	0.0
358205	1.0	-0.00038610699999999995	0.0007902730000000001	0.213133	-6.44682	5.71072	370577.0	459.0	1	487.14599999999996	0.0	0.0
358206	1.0	-0.000240329	-5.91582e-05	0.00419091	-86.8697	-26.7661	370587.0	459.0	1	487.14599999999996	0.0	0.0
358207	1.0	0.000414088	8.99486e-05	0.00725386	92.5217	19.4721	370591.0	459.0	1	487.14599999999996	0.0	0.0
358208	1.0	-0.00027948700000000003	0.00126345	0.0253585	-18.283	43.0322	370581.0	459.0	1	487.14599999999996	0.0	0.0
358209	1.0	0.00146447	0.000875665	0.00488161	-10.523599999999998	82.44120000000001	370607.0	459.0	1	487.14599999999996	0.0	0.0
358210	1.0	-4.37061e-05	0.00011367	0.000519077	-55.612700000000004	80.5757	370610.0	459.0	1	487.14599999999996	0.0	0.0
358211	1.0	-0.00411982	0.00110568	0.03500109999999999	-83.59479999999999	22.2396	370592.0	459.0	1	487.14599999999996	0.0	0.0
358212	1.0	-0.00086215	0.000809065	0.00346864	-137.222	101.884	370659.0	459.0	1	487.14599999999996	0.0	0.0
358213	1.0	-4.45384e-05	-6.6115e-05	0.00024861400000000003	20.665100000000002	143.273	370674.0	459.0	1	487.14599999999996	0.0	0.0
358214	1.0	-0.000315025	0.00011493899999999999	0.000583296	-83.72049999999999	28.0165	370657.0	459.0	1	487.14599999999996	0.0	0.0
358215	1.0	7.84499e-05	9.8333e-05	7.72679e-05	107.50399999999999	151.01	370962.0	459.0	1	487.14599999999996	0.0	0.0
358216	1.0	5.50585e-05	-4.2784099999999996e-05	0.0005771309999999999	18.1716	-15.5632	370581.0	459.0	1	487.14599999999996	0.0	0.0
358217	3.0	-0.00015947299999999998	-0.00017459	9.75583e-05	14.8992	-25.676	370586.0	459.0	1	487.14599999999996	0.0	0.0
358218	3.0	0.00451375	-0.00771301	0.031877499999999996	14.9209	-25.6746	370586.0	459.0	1	487.14599999999996	0.0	0.0
358219	1.0	3.48588e-05	-3.03683e-05	0.011508200000000001	5.77057	-9.57237	370577.0	459.0	1	487.14599999999996	0.0	0.0
358220	1.0	0.000696635	-0.00173932	0.0179852	52.758599999999994	-87.3026	370593.0	459.0	1	487.14599999999996	0.0	0.0
358221	1.0	0.000547166	-0.000968152	0.00349019	101.895	-76.3103	370642.0	459.0	1	487.14599999999996	0.0	0.0
358222	1.0	0.0012582	0.00114821	0.00241696	211.544	151.85399999999998	370787.0	459.0	1	487.14599999999996	0.0	0.0
358223	1.0	0.00478719	0.003453	0.00958659	286.096	188.342	370871.0	459.0	1	487.14599999999996	0.0	0.0
358224	1.0	0.00509046	0.00338004	0.0102542	284.867	175.27200000000002	370856.0	459.0	1	487.14599999999996	0.0	0.0
358225	1.0	0.000179486	-9.34203e-05	0.0207924	20.3278	-14.1349	370578.0	459.0	1	487.14599999999996	0.0	0.0
358226	1.0	0.000105986	-4.1147700000000006e-05	0.000540585	252.985	-397.11800000000005	371341.0	459.0	1	487.14599999999996	0.0	0.0
358227	1.0	0.000613231	-0.00044389	0.018753299999999997	51.814499999999995	-42.616499999999995	370581.0	459.0	1	487.14599999999996	0.0	0.0
358228	1.0	0.000194823	-0.000110302	0.00785307	44.4622	-30.6542	370579.0	459.0	1	487.14599999999996	0.0	0.0
358229	1.0	2.91225e-05	0.000446175	0.00220488	-46.607	-86.1151	370670.0	459.0	1	487.14599999999996	0.0	0.0
358230	1.0	0.00169923	-0.00469069	0.159237	29.2059	-44.294399999999996	370580.0	459.0	1	487.14599999999996	0.0	0.0
358231	1.0	6.196810000000001e-05	-8.78055e-05	7.68602e-05	122.257	-156.889	370873.0	459.0	1	487.14599999999996	0.0	0.0
358232	1.0	0.000329122	-0.000181786	0.000338189	176.472	-139.071	370817.0	459.0	1	487.14599999999996	0.0	0.0
358233	1.0	0.000169755	0.00024171	0.0017422	132.04	36.5927	370644.0	459.0	1	487.14599999999996	0.0	0.0
358234	1.0	-6.17923e-05	7.66518e-05	3.91331e-05	-44.2491	-56.6246	370712.0	459.0	1	487.14599999999996	0.0	0.0
358235	1.0	7.4127e-05	-0.00206203	0.0197238	6.1345600000000005	-82.984	370592.0	459.0	1	487.14599999999996	0.0	0.0
358236	1.0	0.000723935	0.0010056	0.00821684	24.3061	-34.516799999999996	370596.0	459.0	1	487.14599999999996	0.0	0.0
358237	1.0	0.00120849	-9.07195e-05	0.05940840000000001	36.0975	-22.9733	370579.0	459.0	1	487.14599999999996	0.0	0.0
